Metric,AND,OR
True positive,0.0,4.0
False positive,0.0,3.0
False Negative,48.0,44.0
True Negative,44.0,41.0
Recall,0.0,0.08333333333333333
Precision,0.0,0.5714285714285714
Sensitivity,0.0,0.08333333333333333
Specificity,1.0,0.9318181818181818
Accuracy,0.4782608695652174,0.4891304347826087
F1 Score,0.0,0.14545454545454545
